id;start_at;end_at;organization_id;employee_id
1;2021-11-14T23:28:26;2021-11-15T12:10:37;62080;545
2;2021-11-15T15:11:58;2021-11-15T12:20:17;88777;25016
3;2021-11-15T09:22:13;2021-11-14T21:54:53;74211;81431
4;2021-11-15T18:56:53;2021-11-15T04:45:08;86944;344
5;2021-11-15T04:18:15;2021-11-15T07:45:59;46272;48378
6;2021-11-15T00:46:59;2021-11-14T21:35:38;98240;23773
7;2021-11-15T06:52:20;2021-11-15T02:27:53;72676;17393
8;2021-11-15T02:58:39;2021-11-15T03:43:10;98898;91882
9;2021-11-14T20:16:32;2021-11-14T21:44:17;79485;99162
10;2021-11-15T13:44:17;2021-11-15T06:39:29;57622;54404
