id;name;description;duration;cost;organization_id
1;Wooden collaborative system;Grocery leverage;71640;62093;5552
2;Metal PCI Tuna;Computers;19181;85190;12372
3;Bahamas See payment;plum Sleek;40769;97454;69371
4;Squares Bedfordshire;responsive;30774;79413;90932
5;Consultant North;circuit;33514;66861;49585
6;frictionless;auxiliary;9617;66385;78122
7;teal;cultivate;21462;50372;75385
8;Account SDD Center;SAS;24452;33439;63499
9;Optimization array fuchsia;digital;30207;87373;50887
10;Graphical;Small;20743;36938;15527
